id	zi	gloss	QZ	ZZ	DT	JY	CY	LZ	PSM		
173	鹿		lɔk⁸	lɔk⁷	loʔ⁸	lek⁸	tek⁸	tiak⁸	*lok⁸⁻⁴ lɯk⁸ *ttɯk⁵		
174	茸		liɔŋ²	dziɔŋ²	zioŋ²	zioŋ²	zioŋ²	ziɔŋ²	*dioŋ²		
175	密		bat⁸	bat⁸	baʔ⁸	⁻⁻⁻	⁻⁻⁻	bak⁸	*bat⁸		
176	決		kuat⁷	kuat⁷	kiaʔ⁷	kuak⁷	kuak⁷	kʰiek⁷	⁴ʻkuat⁷		
177	露		lɔ⁵	lɔ⁶	lu⁵	lou⁶	lou⁶	lɛu¹	*lou⁶		
178	惡		oʔ⁷	oʔ⁷	ɣ⁵	oʔ⁷	oʔ⁷	ɤ	*xoʔ⁷		
179	勤		kʰun²	kʰin²	kʰeŋ²	kʰeŋ²	kʰiŋ0	kʰieŋ²	ʷkʰum²		
180	□□	dirty	lap⁷ sap⁷		laʔ⁷ saʔ⁷	naʔ⁷  sap⁷	naʔ⁷ sap⁷	lap⁸ tsai⁴	*nap⁷ sap⁷		
181	拆		tʰiaʔ⁷	tʰiaʔ⁷	tʰia⁵	tʰiaʔ⁷	tʰiaʔ⁷	tʰia⁷	*tʰiaʔ		
182	配		pʰɔ⁵	pʰue⁵	pʰue⁵	pʰue⁵	⁻⁻⁻⁻	pʰuɛ⁵	ɤpʰuø⁵		
183	嫌		hiam²	hiam²	⁻⁻⁻⁻	hiam²	hiam²	hiam²	*hiam²		
184	沕		bi⁵	bi⁶	bi¹	bi⁶	bi⁶	⁻⁻⁻	*bi⁶		
185	狗		kau³	kau³	⁻⁻⁻⁻	kau³	kau³	kau³	*kau³		
186	門		bŋ²	bui²	mŋ²	muŋ²	mɯŋ²	mui²	ɤ*muĩ²		
187	龍		liŋ²	liɔŋ²	loŋ²	leŋ²	leŋ²	liaŋ²	*lɯŋ²		
188	夢		baŋ⁵	baŋ⁰	baŋ⁵	maŋ⁶	maŋ⁶	maŋ⁴	*maŋ⁶		
189	臘		laʔ⁸	laʔ⁸	la⁴	laʔ⁸	laʔ⁸	la⁴	k̃ĩ̃		
190	鑽		tsɪŋ⁵	tsui⁵	tsuŋ⁵	tsɯŋ⁵	tsɯɪŋ⁵	tsui⁵	*tsuii⁵		
191	食		tsiaʔ⁸	tsiaʔ⁵	tsia⁴	tsiaʔ⁸	tsiaʔ⁸	tsia⁴	*tsiaʔ		
192	啉		lim¹	lim¹	ɤɐ⁴⁸	nim¹	nim⁶	ɤɐɐᴇ	ɤ*nim¹	(ʔ)	
193	□	dry	ta¹	ta¹	ta¹	ta¹	ta¹	⁻⁻⁻	*ta¹		
194	曝		pʰak⁸⁵	pʰak⁵	pʰaʔ³	pʰak⁵	pʰak⁵	pʰak⁸	*pʰak⁸		
195	鴨		aʔ⁷	aʔ⁷	a⁵	aʔ⁷	aʔ⁷	a⁷	*aʔ⁷		
196	薸		pʰio⁴	pʰio²	pʰiɤ²	pʰio⁴	pʰio²	pʰiɔ²	ɤpʰio²		
197	餡		ã⁵	ã⁶	haŋ¹	ã⁶	ã⁶	a¹	ɤʒ⁶		
198	染		nĩ³	li	niŋ³	ni³	ni³	ni³	*ɪiĩ³		
199	鷹		iŋ¹	iŋ¹	eŋ¹	eŋʃ	eŋ¹	iŋ¹	*iŋ¹		
200	耳		hi³	hi⁶	hiŋ⁴	hĩ⁴	hĩ⁴	hi⁴	*hi⁴⁻⁻xhi⁴		
201	早		tsa³	tsa³	tsa³	tsa³	tsa³	tsa³	*tsa³		
202	塗		ɐɔ²	tʰɔ⁴	tʰu²	tʰou²	tʰou²	tʰeu²	*tʰou²		
